invoice_number,vendor_name,invoice_date,due_date,payment_terms,po_number,subtotal,tax,total_amount
INV-10012,Ironclad Security Inc.,2024-05-07,2024-06-06,NET30,PO-26201,2748.41,219.87,2968.29
INV-10158,Delta Office Solutions,2024-05-09,2024-06-08,NET30,PO-27758,828.91,66.31,895.22
INV-10139,Bluepeak Logistics,2024-05-21,2024-06-05,NET15,PO-22503,4716.16,377.29,5093.46
INV-10212,Everwood Consulting,2024-05-25,2024-06-09,NET15,PO-21169,6565.43,525.23,7090.66
INV-10199,Crestline Manufacturing,2024-06-01,2024-07-16,NET45,PO-21395,14786.81,1182.95,15969.76
INV-10066,Harbor Freight Partners,2024-06-07,2024-08-06,NET60,PO-23111,11712.12,936.97,12649.09
INV-10034,Granite Facilities Mgmt,2024-06-10,2024-07-10,NET30,PO-27433,1837.73,147.02,1984.75
INV-10097,Delta Office Solutions,2024-06-15,2024-07-15,NET30,PO-26755,1070.65,85.65,1156.31
INV-10213,Acme Supplies Co.,2024-06-18,2024-07-18,NET30,PO-29325,1606.76,128.54,1735.3
INV-10160,Falcon IT Services,2024-06-20,2024-07-20,NET30,PO-29926,2783.64,222.69,3006.33
INV-10129,Delta Office Solutions,2024-06-29,2024-07-29,NET30,PO-27611,877.18,70.17,947.36
INV-10098,Acme Supplies Co.,2024-07-02,2024-08-01,NET30,PO-25442,1418.46,113.48,1531.94
INV-10196,Falcon IT Services,2024-07-07,2024-08-06,NET30,PO-20841,2696.88,215.75,2912.63
INV-10071,Bluepeak Logistics,2024-07-09,2024-07-24,NET15,PO-23853,4506.85,360.55,4867.4
INV-10247,Falcon IT Services,2024-07-12,2024-08-11,NET30,PO-26274,3440.01,275.2,3715.21
INV-10110,Juniper Marketing Group,2024-07-13,2024-07-28,NET15,PO-24173,1540.74,123.26,1664.0
INV-10241,Granite Facilities Mgmt,2024-07-14,2024-08-13,NET30,PO-22236,2620.29,209.62,2829.92
INV-10014,Juniper Marketing Group,2024-07-15,2024-07-30,NET15,PO-21139,2274.62,181.97,2456.59
INV-10189,Crestline Manufacturing,2024-07-15,2024-08-29,NET45,PO-29659,13103.09,1048.25,14151.33
INV-10191,Bluepeak Logistics,2024-07-17,2024-08-01,NET15,PO-24952,3956.01,316.48,4272.5
INV-10086,Falcon IT Services,2024-07-27,2024-08-26,NET30,PO-24325,3404.5,272.36,3676.86
INV-10018,Falcon IT Services,2024-08-02,2024-09-01,NET30,PO-24374,2569.58,205.57,2775.14
INV-10024,Falcon IT Services,2024-08-05,2024-09-04,NET30,PO-28179,3410.49,272.84,3683.33
INV-10177,Harbor Freight Partners,2024-08-05,2024-10-04,NET60,PO-24581,8148.24,651.86,8800.1
INV-10063,Harbor Freight Partners,2024-08-06,2024-10-05,NET60,PO-22697,11561.75,924.94,12486.69
INV-10009,Crestline Manufacturing,2024-08-08,2024-09-22,NET45,PO-21519,14683.51,1174.68,15858.19
INV-10067,Everwood Consulting,2024-08-10,2024-08-25,NET15,PO-28883,7548.44,603.88,8152.32
INV-10006,Granite Facilities Mgmt,2024-08-13,2024-09-12,NET30,PO-27359,2749.83,219.99,2969.82
INV-10124,Everwood Consulting,2024-08-18,2024-09-02,NET15,PO-23262,7637.34,610.99,8248.33
INV-10022,Acme Supplies Co.,2024-08-22,2024-09-21,NET30,PO-20525,1304.48,104.36,1408.84
INV-10219,Bluepeak Logistics,2024-08-22,2024-09-06,NET15,PO-29424,5862.48,469.0,6331.48
INV-10049,Ironclad Security Inc.,2024-08-23,2024-09-22,NET30,PO-20964,2548.97,203.92,2752.89
INV-10208,Acme Supplies Co.,2024-08-25,2024-09-24,NET30,PO-24720,1623.23,129.86,1753.09
INV-10040,Everwood Consulting,2024-09-02,2024-09-17,NET15,PO-20949,6041.81,483.34,6525.16
INV-10157,Acme Supplies Co.,2024-09-10,2024-10-10,NET30,PO-22496,1519.05,121.52,1640.57
INV-10218,Juniper Marketing Group,2024-09-13,2024-09-28,NET15,PO-20423,1375.63,110.05,1485.68
INV-10229,Falcon IT Services,2024-09-15,2024-10-15,NET30,PO-26622,2293.41,183.47,2476.89
INV-10075,Falcon IT Services,2024-09-24,2024-10-24,NET30,PO-23910,3269.93,261.59,3531.52
INV-10035,Acme Supplies Co.,2024-09-26,2024-10-26,NET30,PO-28317,2000.38,160.03,2160.41
INV-10084,Crestline Manufacturing,2024-09-27,2024-11-11,NET45,PO-21891,10575.81,846.07,11421.88
INV-10205,Delta Office Solutions,2024-09-27,2024-10-27,NET30,PO-22847,753.22,60.26,813.47
INV-10033,Ironclad Security Inc.,2024-09-30,2024-10-30,NET30,PO-24808,2653.16,212.25,2865.41
INV-10173,Juniper Marketing Group,2024-10-01,2024-10-16,NET15,PO-21419,1684.71,134.78,1819.49
INV-10146,Delta Office Solutions,2024-10-06,2024-11-05,NET30,PO-27140,495.22,39.62,534.84
INV-10193,Crestline Manufacturing,2024-10-07,2024-11-21,NET45,PO-24786,13303.17,1064.25,14367.43
INV-10242,Bluepeak Logistics,2024-10-09,2024-10-24,NET15,PO-26798,3694.48,295.56,3990.04
INV-10007,Juniper Marketing Group,2024-10-11,2024-10-26,NET15,PO-22615,1814.58,145.17,1959.75
INV-10222,Harbor Freight Partners,2024-10-11,2024-12-10,NET60,PO-22973,7886.62,630.93,8517.55
INV-10104,Bluepeak Logistics,2024-10-12,2024-10-27,NET15,PO-25753,3433.74,274.7,3708.44
INV-10122,Bluepeak Logistics,2024-10-17,2024-11-01,NET15,PO-28445,2003.56,160.29,2163.85
INV-10081,Falcon IT Services,2024-10-18,2024-11-17,NET30,PO-24956,3622.54,289.8,3912.35
INV-10118,Everwood Consulting,2024-10-20,2024-11-04,NET15,PO-23443,5484.68,438.77,5923.46
INV-10238,Harbor Freight Partners,2024-10-25,2024-12-24,NET60,PO-28337,8150.99,652.08,8803.07
INV-10102,Falcon IT Services,2024-11-08,2024-12-08,NET30,PO-23728,2669.68,213.57,2883.25
INV-10187,Everwood Consulting,2024-11-09,2024-11-24,NET15,PO-23155,5994.63,479.57,6474.2
INV-10068,Acme Supplies Co.,2024-11-17,2024-12-17,NET30,PO-20936,1422.9,113.83,1536.73
INV-10138,Falcon IT Services,2024-11-23,2024-12-23,NET30,PO-28849,3230.28,258.42,3488.7
INV-10225,Falcon IT Services,2024-11-24,2024-12-24,NET30,PO-25403,2430.03,194.4,2624.43
INV-10039,Juniper Marketing Group,2024-11-27,2024-12-12,NET15,PO-25947,1629.95,130.4,1760.35
INV-10176,Harbor Freight Partners,2024-11-28,2025-01-27,NET60,PO-22979,7877.21,630.18,8507.39
INV-10115,Granite Facilities Mgmt,2024-11-30,2024-12-30,NET30,PO-22085,1926.12,154.09,2080.21
INV-10141,Granite Facilities Mgmt,2024-12-04,2025-01-03,NET30,PO-23388,1800.06,144.0,1944.06
INV-10123,Juniper Marketing Group,2024-12-09,2024-12-24,NET15,PO-23848,2518.26,201.46,2719.72
INV-10008,Granite Facilities Mgmt,2024-12-14,2025-01-13,NET30,PO-24552,2157.47,172.6,2330.07
INV-10185,Ironclad Security Inc.,2024-12-18,2025-01-17,NET30,PO-25419,1861.33,148.91,2010.24
INV-10224,Harbor Freight Partners,2024-12-22,2025-02-20,NET60,PO-26690,7431.07,594.49,8025.56
INV-10055,Granite Facilities Mgmt,2024-12-28,2025-01-27,NET30,PO-20887,1802.0,144.16,1946.16
INV-10112,Delta Office Solutions,2025-01-07,2025-02-06,NET30,PO-27066,871.06,69.68,940.74
INV-10246,Ironclad Security Inc.,2025-01-21,2025-02-20,NET30,PO-27460,2489.57,199.17,2688.73
INV-10153,Falcon IT Services,2025-01-23,2025-02-22,NET30,PO-26906,2739.57,219.17,2958.73
INV-10031,Granite Facilities Mgmt,2025-01-25,2025-02-24,NET30,PO-24119,1829.7,146.38,1976.08
INV-10142,Granite Facilities Mgmt,2025-02-02,2025-03-04,NET30,PO-29569,2090.29,167.22,2257.51
INV-10144,Everwood Consulting,2025-02-03,2025-02-18,NET15,PO-26865,6089.11,487.13,6576.24
INV-10076,Everwood Consulting,2025-02-09,2025-02-24,NET15,PO-22144,7826.42,626.11,8452.53
INV-10105,Ironclad Security Inc.,2025-02-13,2025-03-15,NET30,PO-25425,2187.23,174.98,2362.21
INV-10023,Falcon IT Services,2025-02-14,2025-03-16,NET30,PO-29292,2954.05,236.32,3190.38
INV-10183,Delta Office Solutions,2025-02-18,2025-03-20,NET30,PO-29528,754.13,60.33,814.46
INV-10062,Crestline Manufacturing,2025-02-20,2025-04-06,NET45,PO-27956,11394.63,911.57,12306.2
INV-10207,Acme Supplies Co.,2025-02-22,2025-03-24,NET30,PO-24771,1116.62,89.33,1205.95
INV-10248,Delta Office Solutions,2025-02-24,2025-03-26,NET30,PO-20715,786.65,62.93,849.58
INV-10231,Harbor Freight Partners,2025-02-27,2025-04-28,NET60,PO-28167,11051.04,884.08,11935.12
INV-10126,Harbor Freight Partners,2025-02-28,2025-04-29,NET60,PO-29431,10481.34,838.51,11319.85
INV-10239,Everwood Consulting,2025-03-01,2025-03-16,NET15,PO-23993,7706.3,616.5,8322.81
INV-10116,Delta Office Solutions,2025-03-06,2025-04-05,NET30,PO-26211,872.28,69.78,942.06
INV-10058,Crestline Manufacturing,2025-03-08,2025-04-22,NET45,PO-23006,14123.9,1129.91,15253.81
INV-10211,Delta Office Solutions,2025-03-11,2025-04-10,NET30,PO-22441,880.4,70.43,950.83
INV-10027,Juniper Marketing Group,2025-03-14,2025-03-29,NET15,PO-23593,2083.06,166.64,2249.7
INV-10108,Juniper Marketing Group,2025-03-20,2025-04-04,NET15,PO-25663,1735.88,138.87,1874.75
INV-10170,Crestline Manufacturing,2025-03-21,2025-05-05,NET45,PO-22885,13461.76,1076.94,14538.71
INV-10109,Falcon IT Services,2025-03-22,2025-04-21,NET30,PO-26311,2435.93,194.87,2630.8
INV-10223,Juniper Marketing Group,2025-03-22,2025-04-06,NET15,PO-21494,1530.31,122.42,1652.74
INV-10214,Everwood Consulting,2025-03-25,2025-04-09,NET15,PO-22037,4444.01,355.52,4799.53
INV-10137,Everwood Consulting,2025-03-26,2025-04-10,NET15,PO-24451,6870.05,549.6,7419.65
INV-10090,Crestline Manufacturing,2025-03-28,2025-05-12,NET45,PO-29038,12595.64,1007.65,13603.29
INV-10134,Ironclad Security Inc.,2025-04-01,2025-05-01,NET30,PO-22607,1631.84,130.55,1762.38
INV-10245,Crestline Manufacturing,2025-04-02,2025-05-17,NET45,PO-29042,10266.96,821.36,11088.31
INV-10135,Harbor Freight Partners,2025-04-05,2025-06-04,NET60,PO-24543,8921.7,713.74,9635.43
INV-10174,Everwood Consulting,2025-04-06,2025-04-21,NET15,PO-23995,6809.35,544.75,7354.1
INV-10202,Granite Facilities Mgmt,2025-04-06,2025-05-06,NET30,PO-27253,1884.66,150.77,2035.44
INV-10017,Everwood Consulting,2025-04-09,2025-04-24,NET15,PO-26065,5247.62,419.81,5667.43
INV-10065,Everwood Consulting,2025-04-10,2025-04-25,NET15,PO-29105,5592.87,447.43,6040.3
INV-10152,Delta Office Solutions,2025-04-10,2025-05-10,NET30,PO-25355,905.89,72.47,978.37
INV-10228,Acme Supplies Co.,2025-04-10,2025-05-10,NET30,PO-21442,1314.37,105.15,1419.52
INV-10131,Bluepeak Logistics,2025-04-12,2025-04-27,NET15,PO-28702,4873.18,389.85,5263.03
INV-10077,Everwood Consulting,2025-04-13,2025-04-28,NET15,PO-21188,5190.73,415.26,5605.99
INV-10078,Acme Supplies Co.,2025-04-14,2025-05-14,NET30,PO-29224,1958.2,156.66,2114.86
INV-10151,Crestline Manufacturing,2025-04-17,2025-06-01,NET45,PO-25363,13307.2,1064.58,14371.78
INV-10237,Bluepeak Logistics,2025-04-17,2025-05-02,NET15,PO-22522,5428.8,434.3,5863.1
INV-10020,Crestline Manufacturing,2025-04-18,2025-06-02,NET45,PO-26216,10182.4,814.59,10996.99
INV-10059,Everwood Consulting,2025-04-18,2025-05-03,NET15,PO-27260,6003.31,480.26,6483.57
INV-10172,Harbor Freight Partners,2025-04-21,2025-06-20,NET60,PO-27136,12245.14,979.61,13224.75
INV-10148,Crestline Manufacturing,2025-04-23,2025-06-07,NET45,PO-22091,14889.77,1191.18,16080.96
INV-10121,Ironclad Security Inc.,2025-04-29,2025-05-29,NET30,PO-22780,2944.02,235.52,3179.54
INV-10184,Falcon IT Services,2025-04-29,2025-05-29,NET30,PO-29068,2520.89,201.67,2722.56
INV-10249,Falcon IT Services,2025-04-29,2025-05-29,NET30,PO-26325,2695.75,215.66,2911.41
INV-10197,Everwood Consulting,2025-05-04,2025-05-19,NET15,PO-28056,6332.58,506.61,6839.19
INV-10136,Ironclad Security Inc.,2025-05-11,2025-06-10,NET30,PO-23919,2976.21,238.1,3214.3
INV-10087,Ironclad Security Inc.,2025-05-15,2025-06-14,NET30,PO-20832,2592.3,207.38,2799.69
INV-10180,Granite Facilities Mgmt,2025-05-15,2025-06-14,NET30,PO-29096,2172.84,173.83,2346.66
INV-10250,Crestline Manufacturing,2025-05-22,2025-07-06,NET45,PO-20606,8113.08,649.05,8762.12
INV-10004,Delta Office Solutions,2025-06-01,2025-07-01,NET30,PO-29863,817.38,65.39,882.77
INV-10114,Everwood Consulting,2025-06-03,2025-06-18,NET15,PO-25067,5199.46,415.96,5615.42
INV-10243,Falcon IT Services,2025-06-03,2025-07-03,NET30,PO-24891,2995.37,239.63,3235.0
INV-10028,Crestline Manufacturing,2025-06-05,2025-07-20,NET45,PO-28085,10988.37,879.07,11867.44
INV-10047,Harbor Freight Partners,2025-06-13,2025-08-12,NET60,PO-21049,7703.92,616.31,8320.23
INV-10038,Ironclad Security Inc.,2025-06-27,2025-07-27,NET30,PO-20009,3059.16,244.73,3303.89
INV-10042,Bluepeak Logistics,2025-06-29,2025-07-14,NET15,PO-22060,4075.38,326.03,4401.41
INV-10167,Falcon IT Services,2025-06-29,2025-07-29,NET30,PO-28289,2480.14,198.41,2678.55
INV-10149,Juniper Marketing Group,2025-06-30,2025-07-15,NET15,PO-29246,2145.3,171.62,2316.93
INV-10026,Ironclad Security Inc.,2025-07-05,2025-08-04,NET30,PO-24304,2700.29,216.02,2916.31
INV-10045,Delta Office Solutions,2025-07-06,2025-08-05,NET30,PO-25107,807.59,64.61,872.2
INV-10052,Delta Office Solutions,2025-07-06,2025-08-05,NET30,PO-22167,789.23,63.14,852.37
INV-10155,Acme Supplies Co.,2025-07-06,2025-08-05,NET30,PO-23673,2199.88,175.99,2375.87
INV-10216,Ironclad Security Inc.,2025-07-06,2025-08-05,NET30,PO-28090,3078.43,246.27,3324.7
INV-10145,Ironclad Security Inc.,2025-07-13,2025-08-12,NET30,PO-27999,2929.17,234.33,3163.5
INV-10233,Everwood Consulting,2025-07-16,2025-07-31,NET15,PO-27941,6672.51,533.8,7206.31
INV-10240,Harbor Freight Partners,2025-07-18,2025-09-16,NET60,PO-22369,4655.02,372.4,5027.42
INV-10013,Bluepeak Logistics,2025-07-19,2025-08-03,NET15,PO-25925,3860.53,308.84,4169.37
INV-10093,Juniper Marketing Group,2025-07-19,2025-08-03,NET15,PO-25050,1909.19,152.73,2061.92
INV-10085,Bluepeak Logistics,2025-07-20,2025-08-04,NET15,PO-23450,4609.86,368.79,4978.65
INV-10130,Acme Supplies Co.,2025-07-24,2025-08-23,NET30,PO-24082,1063.59,85.09,1148.68
INV-10005,Acme Supplies Co.,2025-07-28,2025-08-27,NET30,PO-28928,1637.33,130.99,1768.31
INV-10091,Granite Facilities Mgmt,2025-07-28,2025-08-27,NET30,PO-22442,2357.92,188.63,2546.56
INV-10159,Bluepeak Logistics,2025-07-31,2025-08-15,NET15,PO-24198,5152.93,412.23,5565.16
INV-10074,Juniper Marketing Group,2025-08-01,2025-08-16,NET15,PO-28565,1527.78,122.22,1650.0
INV-10166,Bluepeak Logistics,2025-08-02,2025-08-17,NET15,PO-20672,3479.04,278.32,3757.37
INV-10041,Delta Office Solutions,2025-08-03,2025-09-02,NET30,PO-27962,859.98,68.8,928.78
INV-10175,Harbor Freight Partners,2025-08-06,2025-10-05,NET60,PO-20470,7648.53,611.88,8260.41
INV-10143,Acme Supplies Co.,2025-08-12,2025-09-11,NET30,PO-25763,1476.16,118.09,1594.26
INV-10163,Everwood Consulting,2025-08-12,2025-08-27,NET15,PO-26498,4667.23,373.38,5040.6
INV-10053,Juniper Marketing Group,2025-08-13,2025-08-28,NET15,PO-26669,1195.7,95.66,1291.36
INV-10198,Bluepeak Logistics,2025-08-13,2025-08-28,NET15,PO-20878,4417.38,353.39,4770.77
INV-10073,Delta Office Solutions,2025-08-15,2025-09-14,NET30,PO-26868,627.21,50.18,677.39
INV-10162,Bluepeak Logistics,2025-08-15,2025-08-30,NET15,PO-20420,3669.92,293.59,3963.51
INV-10119,Granite Facilities Mgmt,2025-08-16,2025-09-15,NET30,PO-27238,1923.5,153.88,2077.38
INV-10244,Juniper Marketing Group,2025-08-16,2025-08-31,NET15,PO-28022,1824.94,146.0,1970.94
INV-10107,Crestline Manufacturing,2025-08-17,2025-10-01,NET45,PO-21776,14409.63,1152.77,15562.41
INV-10069,Acme Supplies Co.,2025-08-21,2025-09-20,NET30,PO-28701,833.9,66.71,900.62
INV-10203,Everwood Consulting,2025-08-25,2025-09-09,NET15,PO-20986,7022.42,561.79,7584.21
INV-10003,Bluepeak Logistics,2025-08-27,2025-09-11,NET15,PO-23582,4004.74,320.38,4325.12
INV-10132,Ironclad Security Inc.,2025-09-01,2025-10-01,NET30,PO-25198,3015.38,241.23,3256.62
INV-10030,Granite Facilities Mgmt,2025-09-02,2025-10-02,NET30,PO-21040,2023.51,161.88,2185.39
INV-10190,Ironclad Security Inc.,2025-09-03,2025-10-03,NET30,PO-24636,3162.56,253.0,3415.56
INV-10011,Falcon IT Services,2025-09-10,2025-10-10,NET30,PO-27527,2983.71,238.7,3222.4
INV-10201,Granite Facilities Mgmt,2025-09-12,2025-10-12,NET30,PO-28561,1742.99,139.44,1882.43
INV-10044,Ironclad Security Inc.,2025-09-13,2025-10-13,NET30,PO-26932,2697.71,215.82,2913.53
INV-10019,Bluepeak Logistics,2025-09-15,2025-09-30,NET15,PO-24010,3464.23,277.14,3741.37
INV-10037,Ironclad Security Inc.,2025-09-15,2025-10-15,NET30,PO-22646,2752.67,220.21,2972.88
INV-10133,Harbor Freight Partners,2025-09-19,2025-11-18,NET60,PO-26991,10508.43,840.67,11349.1
INV-10117,Crestline Manufacturing,2025-09-22,2025-11-06,NET45,PO-20006,10184.84,814.79,10999.63
INV-10096,Granite Facilities Mgmt,2025-09-27,2025-10-27,NET30,PO-22532,2386.31,190.9,2577.21
INV-10036,Bluepeak Logistics,2025-10-02,2025-10-17,NET15,PO-24889,3932.06,314.56,4246.62
INV-10210,Everwood Consulting,2025-10-02,2025-10-17,NET15,PO-29663,5643.95,451.52,6095.47
INV-10088,Bluepeak Logistics,2025-10-11,2025-10-26,NET15,PO-26939,6166.69,493.34,6660.03
INV-10194,Crestline Manufacturing,2025-10-15,2025-11-29,NET45,PO-28042,12736.17,1018.89,13755.06
INV-10021,Everwood Consulting,2025-10-17,2025-11-01,NET15,PO-25313,5679.85,454.39,6134.24
INV-10025,Granite Facilities Mgmt,2025-10-20,2025-11-19,NET30,PO-24040,1896.63,151.73,2048.36
INV-10171,Ironclad Security Inc.,2025-10-28,2025-11-27,NET30,PO-28817,2485.65,198.85,2684.5
INV-10156,Bluepeak Logistics,2025-10-29,2025-11-13,NET15,PO-20659,4912.76,393.02,5305.79
INV-10082,Juniper Marketing Group,2025-10-31,2025-11-15,NET15,PO-28666,2354.72,188.38,2543.09
INV-10043,Crestline Manufacturing,2025-11-06,2025-12-21,NET45,PO-24342,9379.55,750.36,10129.91
INV-10015,Acme Supplies Co.,2025-11-08,2025-12-08,NET30,PO-21307,1534.33,122.75,1657.07
INV-10227,Everwood Consulting,2025-11-09,2025-11-24,NET15,PO-29012,8070.3,645.62,8715.93
INV-10113,Bluepeak Logistics,2025-11-11,2025-11-26,NET15,PO-22041,5304.77,424.38,5729.15
INV-10083,Acme Supplies Co.,2025-11-14,2025-12-14,NET30,PO-21697,1603.57,128.29,1731.85
INV-10099,Granite Facilities Mgmt,2025-11-16,2025-12-16,NET30,PO-24371,2679.44,214.36,2893.79
INV-10046,Granite Facilities Mgmt,2025-11-18,2025-12-18,NET30,PO-26118,1588.25,127.06,1715.32
INV-10120,Harbor Freight Partners,2025-11-22,2026-01-21,NET60,PO-23501,8013.89,641.11,8655.0
INV-10002,Bluepeak Logistics,2025-11-23,2025-12-08,NET15,PO-28935,3526.38,282.11,3808.49
INV-10095,Delta Office Solutions,2025-11-29,2025-12-29,NET30,PO-29173,800.21,64.02,864.22
INV-10215,Harbor Freight Partners,2025-12-06,2026-02-04,NET60,PO-24460,8391.01,671.28,9062.29
INV-10181,Delta Office Solutions,2025-12-08,2026-01-07,NET30,PO-27342,566.04,45.28,611.32
INV-10226,Granite Facilities Mgmt,2025-12-11,2026-01-10,NET30,PO-28117,1507.45,120.6,1628.04
INV-10127,Delta Office Solutions,2025-12-14,2026-01-13,NET30,PO-22417,686.98,54.96,741.94
INV-10100,Crestline Manufacturing,2025-12-19,2026-02-02,NET45,PO-21771,9060.58,724.85,9785.43
INV-10178,Juniper Marketing Group,2025-12-19,2026-01-03,NET15,PO-24526,2014.0,161.12,2175.12
INV-10186,Falcon IT Services,2025-12-20,2026-01-19,NET30,PO-27434,3448.12,275.85,3723.97
INV-10209,Everwood Consulting,2025-12-20,2026-01-04,NET15,PO-23824,6293.07,503.45,6796.51
INV-10111,Acme Supplies Co.,2025-12-26,2026-01-25,NET30,PO-28821,1165.5,93.24,1258.75
INV-10192,Acme Supplies Co.,2025-12-26,2026-01-25,NET30,PO-28751,1771.97,141.76,1913.72
INV-10235,Delta Office Solutions,2025-12-27,2026-01-26,NET30,PO-29048,903.32,72.27,975.58
